id;date_time_ingest;kline_open_time;open_price;high_price;low_price;close_price;volume;kline_close_time;quote_asset_volume;number_of_trades;taker_buy_base_asset_volume;taker_buy_quote_asset_volume;count;kline_open_time_parsed;kline_close_time_parsed;symbol
1;22/11/2023 12:54;1,70061E+12;0.05406;0.07909;0.05201;0.05521;264.418;1,7007E+12;14.4686;2182;214.171;11.7194;0;22/11/2023 00:00;22/11/2023 23:59;ETHBTC
2;22/11/2023 12:54;1,70061E+12;0.001851;0.001862;0.001845;0.001854;840.319;1,7007E+12;1.55956;263;807.33;1.49834;0;22/11/2023 00:00;22/11/2023 23:59;LTCBTC
3;22/11/2023 12:54;1,70061E+12;0.006324;0.006529;0.006293;0.006392;3127;1,7007E+12;20.0721;3788;2683.19;17.1986;0;22/11/2023 00:00;22/11/2023 23:59;BNBBTC
4;22/11/2023 12:54;1,70061E+12;35992;37190;9500;36472.3;199.015;1,7007E+12;7236770;39659;126.104;4585800;0;22/11/2023 00:00;22/11/2023 23:59;BTCUSDT
5;22/11/2023 12:54;1,70061E+12;1946.15;2044.67;1935.05;2013.11;1647.69;1,7007E+12;3274600;16239;1324.01;2630660;0;22/11/2023 00:00;22/11/2023 23:59;ETHUSDT
6;22/11/2023 12:54;1,70061E+12;0.00000268;0.00000278;0.00000267;0.00000276;150282;1,7007E+12;0.40908;65;145254;0.395176;0;22/11/2023 00:00;22/11/2023 23:59;TRXBTC
7;22/11/2023 12:54;1,70061E+12;0.00001619;0.00001634;0.00001615;0.00001627;150595;1,7007E+12;2.44791;381;145351;2.36266;0;22/11/2023 00:00;22/11/2023 23:59;XRPBTC
8;22/11/2023 12:54;1,70061E+12;227.8;238.1;225.5;233.1;8987.49;1,7007E+12;2094020;6480;6198.5;1444090;0;22/11/2023 00:00;22/11/2023 23:59;BNBUSDT
9;22/11/2023 12:54;1,70061E+12;66.65;100;66.23;67.65;9711.99;1,7007E+12;655449;2280;9286.08;626690;0;22/11/2023 00:00;22/11/2023 23:59;LTCUSDT
10;22/11/2023 12:54;1,70061E+12;0.2927;0.2942;0.2849;0.2894;474.362;1,7007E+12;137.586;255;415.828;120.723;0;22/11/2023 00:00;22/11/2023 23:59;LTCBNB
11;22/11/2023 12:54;1,70061E+12;0.5827;0.5968;0.5786;0.5937;3789640;1,7007E+12;2242150;6835;2171620;1283960;0;22/11/2023 00:00;22/11/2023 23:59;XRPUSDT
12;22/11/2023 12:54;1,70061E+12;0.002559;0.002579;0.002487;0.002545;516172;1,7007E+12;1309.46;1816;213672;542.793;0;22/11/2023 00:00;22/11/2023 23:59;XRPBNB
13;22/11/2023 12:54;1,70061E+12;0.0004233;0.0004365;0.0004114;0.0004315;3985170;1,7007E+12;1683.75;2409;1917930;809.481;0;22/11/2023 00:00;22/11/2023 23:59;TRXBNB
14;22/11/2023 12:54;1,70061E+12;0.09638;0.10214;0.09615;0.10067;5342720;1,7007E+12;529841;2129;5129060;508564;0;22/11/2023 00:00;22/11/2023 23:59;TRXUSDT
15;22/11/2023 12:54;1,70061E+12;227.5;238.1;225.6;233.2;6542.44;1,7007E+12;1525450;4504;4813.93;1122560;0;22/11/2023 00:00;22/11/2023 23:59;BNBBUSD
16;22/11/2023 12:54;1,70061E+12;36005.6;36705.8;35794;36491.6;215.341;1,7007E+12;7832760;15970;134.014;4876070;0;22/11/2023 00:00;22/11/2023 23:59;BTCBUSD
17;22/11/2023 12:54;1,70061E+12;0.5828;0.5971;0.579;0.594;2386680;1,7007E+12;1412530;4312;1563830;925153;0;22/11/2023 00:00;22/11/2023 23:59;XRPBUSD
18;22/11/2023 12:54;1,70061E+12;1946.5;2027.55;1934.76;2013.99;2488.65;1,7007E+12;4945140;10699;1652.18;3284390;0;22/11/2023 00:00;22/11/2023 23:59;ETHBUSD
19;22/11/2023 12:54;1,70061E+12;66.64;67.96;66.31;67.69;2704.94;1,7007E+12;182499;643;2555.63;172419;0;22/11/2023 00:00;22/11/2023 23:59;LTCBUSD
20;22/11/2023 12:54;1,70061E+12;0.07727;0.07727;0.07727;0.07727;0;1,7007E+12;0;0;0;0;0;22/11/2023 00:00;22/11/2023 23:59;TRXBUSD
21;22/11/2023 12:54;1,70061E+12;0.0002822;0.0002937;0.0002822;0.0002865;5687.75;1,7007E+12;1.64004;321;5046.95;1.45501;0;22/11/2023 00:00;22/11/2023 23:59;NEOBTC
22;22/11/2023 12:54;1,70061E+12;0.001495;0.00152;0.001488;0.001502;833.4;1,7007E+12;1.25337;27;340.7;0.511516;0;22/11/2023 00:00;22/11/2023 23:59;QTUMETH
23;22/11/2023 12:54;1,70061E+12;0.0003352;0.0003352;0.0003291;0.0003291;2605;1,7007E+12;0.863199;20;373.1;0.125021;0;22/11/2023 00:00;22/11/2023 23:59;EOSETH
24;22/11/2023 12:54;1,70061E+12;0.00001953;0.00001972;0.00001953;0.0000196;30268;1,7007E+12;0.592981;13;25551;0.499962;0;22/11/2023 00:00;22/11/2023 23:59;SNTETH
25;22/11/2023 12:54;1,70061E+12;0.0003636;0.0003785;0.0003636;0.0003688;8662.7;1,7007E+12;3.2081;124;4938;1.83101;0;22/11/2023 00:00;22/11/2023 23:59;BNTETH
26;22/11/2023 12:54;1,70061E+12;0.0002062;0.000211;0.000206;0.0002085;12029.6;1,7007E+12;2.51206;433;11274.6;2.35444;0;22/11/2023 00:00;22/11/2023 23:59;GASBTC
27;22/11/2023 12:54;1,70061E+12;0.117;0.1197;0.1157;0.1157;647.883;1,7007E+12;76.1148;1097;384.101;45.1862;0;22/11/2023 00:00;22/11/2023 23:59;BNBETH
28;22/11/2023 12:54;1,70061E+12;0.00000422;0.00000425;0.0000042;0.00000421;12452;1,7007E+12;0.0526184;12;7269;0.0307094;0;22/11/2023 00:00;22/11/2023 23:59;WTCBTC
29;22/11/2023 12:54;1,70061E+12;0.00000551;0.00000558;0.00000551;0.00000554;21009;1,7007E+12;0.116388;23;14971;0.0829744;0;22/11/2023 00:00;22/11/2023 23:59;LRCBTC
30;22/11/2023 12:54;1,70061E+12;0.00010201;0.00010229;0.00010057;0.00010057;13664;1,7007E+12;1.38864;24;8679;0.882346;0;22/11/2023 00:00;22/11/2023 23:59;LRCETH
31;22/11/2023 12:54;1,70061E+12;0.0000807;0.000083;0.0000807;0.0000824;2984.9;1,7007E+12;0.245726;44;2005.2;0.164874;0;22/11/2023 00:00;22/11/2023 23:59;QTUMBTC
32;22/11/2023 12:54;1,70061E+12;0.00001035;0.00001097;0.00001019;0.00001097;49005;1,7007E+12;0.514153;102;38400;0.403978;0;22/11/2023 00:00;22/11/2023 23:59;ZRXBTC
33;22/11/2023 12:54;1,70061E+12;0.00001991;0.0000205;0.0000199;0.00002035;21628.2;1,7007E+12;0.437722;83;17506.5;0.353408;0;22/11/2023 00:00;22/11/2023 23:59;KNCBTC
34;22/11/2023 12:54;1,70061E+12;0.00000235;0.00000235;0.00000227;0.00000227;101245;1,7007E+12;0.235005;5;31278;0.0710011;0;22/11/2023 00:00;22/11/2023 23:59;FUNETH
