id,open_price,high_price,low_price,close_price,volume,quote_asset_volume,number_of_trades,kline_open_time_parsed,kline_close_time_parsed,symbol
1,0.05235,0.06273,0.05105,0.05211,344.724,18.0725,3155,2023-11-01 00:00:00,2023-11-01 23:59:59,ETHBTC
2,0.05212,0.05381,0.05154,0.05154,390.344,20.3191,3196,2023-11-02 00:00:00,2023-11-02 23:59:59,ETHBTC
3,0.05154,0.05394,0.04982,0.04983,166.18,8.64744,1420,2023-11-03 00:00:00,2023-11-03 23:59:59,ETHBTC
4,0.04983,0.04983,0.04983,0.04983,0,0,0,2023-11-04 00:00:00,2023-11-04 23:59:59,ETHBTC
5,0.05,0.05,0.04334,0.04334,1.5421,0.075259,19,2023-11-05 00:00:00,2023-11-05 23:59:59,ETHBTC
6,0.05403,0.05472,0.04846,0.05419,303.083,16.3805,2639,2023-11-06 00:00:00,2023-11-06 23:59:59,ETHBTC
7,0.0542,0.22846,0.05314,0.05326,279.996,15.2197,2581,2023-11-07 00:00:00,2023-11-07 23:59:59,ETHBTC
8,0.05325,0.06341,0.04789,0.053,189.29,10.0815,1664,2023-11-08 00:00:00,2023-11-08 23:59:59,ETHBTC
9,0.05299,0.05796,0.05115,0.05784,465.077,25.0968,4649,2023-11-09 00:00:00,2023-11-09 23:59:59,ETHBTC
10,0.05785,0.08,0.05564,0.0557,406.723,23.1864,4136,2023-11-10 00:00:00,2023-11-10 23:59:59,ETHBTC
11,0.05571,0.05621,0.05501,0.05529,231.175,12.839,1718,2023-11-11 00:00:00,2023-11-11 23:59:59,ETHBTC
12,0.0553,0.05549,0.05479,0.05518,175.973,9.72996,1330,2023-11-12 00:00:00,2023-11-12 23:59:59,ETHBTC
13,0.05518,0.05887,0.05508,0.05643,389.248,21.912,3526,2023-11-13 00:00:00,2023-11-13 23:59:59,ETHBTC
14,0.05644,0.05769,0.05086,0.05575,338.18,18.9581,2997,2023-11-14 00:00:00,2023-11-14 23:59:59,ETHBTC
15,0.05575,0.0589,0.05422,0.05436,349.977,19.3045,3002,2023-11-15 00:00:00,2023-11-15 23:59:59,ETHBTC
16,0.05433,0.05569,0.05411,0.05419,454.697,24.9274,3857,2023-11-16 00:00:00,2023-11-16 23:59:59,ETHBTC
17,0.05419,0.0554,0.02525,0.0536,735.542,39.6898,5042,2023-11-17 00:00:00,2023-11-17 23:59:59,ETHBTC
18,0.0536,0.05724,0.05308,0.05368,344.772,18.4099,2900,2023-11-18 00:00:00,2023-11-18 23:59:59,ETHBTC
19,0.05365,0.05406,0.05337,0.05383,174.034,9.33687,1464,2023-11-19 00:00:00,2023-11-19 23:59:59,ETHBTC
20,0.05384,0.05478,0.05203,0.05396,355.546,19.3014,2837,2023-11-20 00:00:00,2023-11-20 23:59:59,ETHBTC
21,0.05395,0.05442,0.05201,0.05406,439.974,23.6851,3774,2023-11-21 00:00:00,2023-11-21 23:59:59,ETHBTC
22,0.05406,0.07909,0.05201,0.05513,695.808,38.4199,5693,2023-11-22 00:00:00,2023-11-22 23:59:59,ETHBTC
23,0.05512,0.05556,0.03,0.05529,286.742,15.8291,2739,2023-11-23 00:00:00,2023-11-23 23:59:59,ETHBTC
24,0.05527,0.06745,0.05483,0.05518,404.492,22.4631,3342,2023-11-24 00:00:00,2023-11-24 23:59:59,ETHBTC
25,0.05517,0.05529,0.05496,0.05511,114.679,6.32502,927,2023-11-25 00:00:00,2023-11-25 23:59:59,ETHBTC
26,0.001977,0.001994,0.001944,0.001973,1943.48,3.82287,633,2023-11-01 00:00:00,2023-11-01 23:59:59,LTCBTC
